,"Wilson Hall "
,"New Cabell Hall "
,"Maury Hall "
,"Gibson Hall "
,"Nau Hall "
,"Shannon House "
,"Web-Based Course-No class mtgs"
,"Gilmer Hall "
,"Dell  "
,"Ridley Hall G"
,"Astronomy Bldg "
,"Campbell Hall "
,"Monroe Hall "
,"Bryan Hall "
,"Dawson's Row "
,"Web-Based Course"
,"The Rotunda Room "
,"Brooks Hall "
,"Physics Bldg "
,"Minor Hall "
,"Fayerweather Hall "
,"Campbell Hall B"
,"Rouss Hall "
,"Chemistry Bldg "
,"Olsson Hall "
,"Mechanical Engr Bldg "
,"Thornton Hall E"
,"Thornton Hall D"
,"Mechanical Engineering "
,"Shea House "
,"Pavilion V "
,"Chemical Engineering Bldg "
,"Campbell Hall C"
,"Ruffin Hall "
,"Clark Hall "
,"Clark Hall G"
,"McLeod Hall "
,"Chemistry Bldg Room "
,"Claude Moore Nursing Educ "
,"Memorial Gymnasium "
,"Physical & Life Sci Bldg Rm"
,"Contact Department"
,"Biomed Engr & Med Sci "
,"PINN Hall "
,"Thornton Hall Room A"
,"Thornton Hall A"
,"Drama Education Bldg "
,"Rice Hall "
,"Jesser Hall "
,"Wilsdorf Hall "
,"Ridley Hall "
,"Chemistry Blds Room "
,"Chemistry Building Room "
,"Pavilion VIII "
,"Cocke Hall "
,"Robertson Hall "
,"Robertson Hall A"
,"Memorial Gymnasium -MP"
,"Drama Education Bldg C"
,"Ruth Caplin Theatre"
,"Drama Education Bldg B"
,"Helms Theatre"
,"Claude Moore Nursing Educ G"
,"Thornton Hall Room B"
,"Kerchof Hall "
,"McLeod Hall  - Science Ctr"
,"Meridian High School"
,"Bond House "
,"Kerchof Hall A"
,"French House "
,"Sands Captl Mgmt Bldg Rm "
,"Darden Classroom Bldg "
,"Darden Classroom Bldg Room "
,"Darden Classroom Bldg Room I-L"
,"Darden Abbott Ctr Auditorium"
,"Darden Fac Office Bldg Rm "
,"Pavilion "
,"UVA S Towers = Oncology"
,"Martha Jefferson Hospital"
,"UVA S"
,"UVA N = Thoracic Cardio Unit"
,"UVA W = MICU"
,"Bon Secours"
,"Robertson Hall B"
,"Jones Branch Drive"
,"Clinic Simulation Learning Ctr"
,"Colonnade Library"
,"Slaughter Rec Gymnasium CT "
,"Snyder Tennis Ctr Court "
,"Boar's Head Sport Club"
,"Memorial Gymnasium Main Gym"
,"Carr's Hill Field"
,"Birdwood Golf Course"
,"Slaughter Rec -Main Gym"
,"Aquatic & Fitness Ctr N Pool"
,"N Grounds Rec Ctr Pool - Deep"
,"Memorial Gymnasium B"
,"Slaughter Rec Climbing Wall"
,"Memorial Gymnasium Court "
,"Slaughter Rec B-MP"
,"Aquatic & Fitness Ctr "
,"Brown Hall "
,"Slaughter Hall "
,"Judge Advocate General School"
,"Patent & Trademark Office"
,"Slaughter Hall A"
,"Slaughter Hall B"
,"Home of the Instructor"
,"Lower West Oval Room "
,"Clinical Department Wing "
,"Old Cabell Hall "
,"Old Cabell Hall B"
,"Old Cabell Hall S"
,"Maury Hall B"
,"UVA E = Labor and Delivery"
,"UVA E = Psychiatry/Behavior"
,"Western State Hospital"
,"Old Medical School C"
,"Multistory (Old) Hospital "
,"Multistory (Old) Hospital C"
,"Physics Bldg C"
,"Randall Hall "
,"Elson Student Health Center"
,"Clemons Library "
